# run,W0,D,L,Dp,delDp,phi,Dpcorr,eps,pamb,dpsErg,dpsK,Tmean,phase,phaseshift,TampL,timex,Nuf,Nus,Nuact
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.5005268e+01,8.5276587e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.5005268e+01,8.5276587e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.6000000e-01,1.0132500e+05,4.9632315e+01,7.7072504e+01,2.8311707e+02,8.2861566e-02,1.4411676e-02,4.8347257e+00,3.7016564e-01,2.7433426e+01,2.7334336e+01,7.4271645e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5700000e-01,1.0132500e+05,5.0909682e+01,7.9043341e+01,2.8311674e+02,8.2861548e-02,1.4411668e-02,4.7930400e+00,3.7016543e-01,2.6038063e+01,2.5936954e+01,7.4116703e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8315816e+02,8.2961720e-02,7.1564919e-03,6.9604377e+00,3.6324876e-01,2.6296775e+01,2.6220580e+01,5.2521128e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8313743e+02,8.2916053e-02,1.0041159e-02,5.7021047e+00,3.6596569e-01,2.6802738e+01,2.6729384e+01,6.2568875e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8313743e+02,8.2916053e-02,1.0041159e-02,5.7021047e+00,3.6596569e-01,2.6802738e+01,2.6729384e+01,6.2568875e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8315816e+02,8.2961720e-02,7.1564919e-03,6.9604377e+00,3.6324876e-01,2.6296775e+01,2.6220580e+01,5.2521128e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8315816e+02,8.2961720e-02,7.1564919e-03,6.9604377e+00,3.6324876e-01,2.6296775e+01,2.6220580e+01,5.2521128e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311299e+02,8.3760548e-02,1.4547492e-02,4.7619482e+00,3.6949206e-01,2.8431707e+01,2.8395241e+01,7.6327537e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311299e+02,8.3760548e-02,1.4547492e-02,4.7619482e+00,3.6949206e-01,2.8431707e+01,2.8395241e+01,7.6327537e+01
0.0000000e+00,9.0000000e-03,1.0000000e-01,1.5000000e+00,2.0000000e-02,0.0000000e+00,1.0000000e+00,1.0000000e+00,4.5500000e-01,1.0132500e+05,5.1782305e+01,8.0389552e+01,2.8311653e+02,8.2861537e-02,1.4411663e-02,4.7654272e+00,3.7016530e-01,3.3507941e+01,3.3386873e+01,7.4014767e+01
